,Unnamed: 0,fuzz_locations,fuzzed
0,0,lawrence&warden,lawrenceavee&wardenave
1,1,ellesmere&victoriapark,ellesmererd
2,2,markham&passmore,markhamrd&passmoreave
3,3,lawrence&scarboroughgolfclubrd,lawrenceavee&scarboroughgolfclubrd
4,4,danforthave&victoriapark,danforthave&victoriaparkave
5,5,charlottetown&lawrence,bridgeportdr&charlottetownblvd&lawrenceavee
6,6,bridley&mccowan,mccowanrd
7,7,hullmar&jane,hullmardr&janest
8,8,brimley&lawrence,brimleyrd
9,9,bloor&lansdowne,lnnbloorwlansdowne
10,10,mccowan&steeles,mccowanrd&steelesavee
11,11,bloor&oldmill,bloorstw&oldmilldr
12,12,danforth&danforth,danforthave&danforthrd
13,13,founders&steeles,foundersrd&steelesavew
14,14,islington&rexdale,islingtonave&rexdaleblvd
15,15,keele&st.clair,keelest&stclairavew&westonrd
16,16,bathurst&steeles.,bathurstst&steelesavew
17,17,bathurst&wilson,bathurstst&wilsonave
18,18,morningside&nightstar,morningsideave
19,19,finch&mccowan,finchavee&mccowanrd
20,20,kennedy&sheppard,kennedyrd&sheppardavee
21,21,donmills&freshmeadow,donmillsrd&freshmeadowdr
22,22,bedford&dupont,bedfordrd&dupontst
23,23,albion&westonrd,westonrd
24,24,annette&highparkave.,annettest&highparkave
25,25,dockside&queensquay,docksidedr&queensquaye
26,26,allenrd.&transitrd.,allenrd
27,27,boroughdr&trinton,boroughdr&tritonrd
28,28,beaconhill&kipling,beaconhillrd&kiplingave
29,29,finch&keele,finchavew&keelest
30,30,coxwell&danforth,coxwellave&danforthave
31,31,bathurst&woburn,bathurstst&woburnave
32,32,sheppard&victoriapark,sheppardavee&victoriaparkave
33,33,kennedy&lawrence,kennedyrd&lawrenceavee
34,34,markham&nugget,markhamrd
35,35,crowtrail&neilson,crowtrl&neilsonparktrl&neilsonrd
36,36,dufferin&rutherford,dufferinst
37,37,rogers&weston,rogersrd&westonrd
38,38,confederation&dufferin,dufferinst
39,39,brimley&steeles,roxannecres&wwebrimleyssteeles
40,40,danforth&victoriapark,danforthave&victoriaparkave
41,41,midland&steeles,midlandave&steelesavee
42,42,finch&jane,finchavew&janest
43,43,dollyvardon&ellesmere,dollyvardenblvd&ellesmererd
44,44,lawrence&manse,lawrenceavee&manserd
45,45,bathurst&steeles,bathurstst&steelesavew
46,46,jane&lambton,janest&lambtonave
47,47,millwood&overlea,millwoodrd&overleablvd
48,48,jane35d&sheppard,janest&sheppardavew
49,49,kennedy&passmore,kennedyrd
50,50,ferris&rexleigh,ferrisrd&rexleighdr
51,51,bloor&sherbourne,lowersherbournest
52,52,finch&lorraine,beecroftrd&lorrainedr&lorrainedriveparktrl
53,53,donmills&duncanmills,millst
54,54,albion&weston,westonrd
55,55,davenport&lansdowne,davenportrd&lansdowneave
56,56,bloor&dufferin,bloorstw&dufferinst
57,57,keele&majormackenzie,keelest
58,58,eglinton&kingston,eglintonavee&kingstonrd
59,59,steeles&woodbine,404steeleswoodbineramp&steelesavee&woodbines404sramp
60,60,hambly&queen,hamblyave&queenste
61,61,lawrence&weston,lawrenceavew&westonrd
62,62,lawrence&pine,lawrenceavew&pinest
63,63,lipponcott&weston,westonrd
64,64,islington&lakeshore,lakeshoredr
65,65,dufferin&tycos,dufferinst&tycosdr
66,66,keele&wilson,keelest&wilsonave
67,67,cleveland&davisville,clevelandst&davisvilleave
68,68,overlea&throncliff,overleablvd&thorncliffeparkdr
69,69,finch&sandhurstcirclew,finchavee&sandhurstcrcl
70,70,eglinton&keele,lnneglintonwkeele
71,71,durant&mortimer,durantave&mortimerave
72,72,donmills&overlea,donmillsrd
73,73,dufferin&liberty,dufferinst&libertyst
74,74,driftwood&jane,driftwoodave&driftwoodparktrl
75,75,oakwood&vaughan,oakwoodave&vaughanrd
76,76,finch&victoriapark,finchavee&victoriaparkave
77,77,macdonal&queen,macdonellave&queenstw
78,78,jane&sheppard,ethennonnhawahstihnen'lane&sheppardavee
79,79,adelaide&parliament,adelaideste&parliamentst
80,80,dufferin&stclair,dufferinst&stclairavew
81,81,bay&hagerman,bayst&hagermanst
82,82,chaplin&roselawn,chaplincres&roselawnave
83,83,dufferin&hope,dufferinst&hopest
84,84,overlea&thorncliffepark,overleablvd&thorncliffeparkdr
85,85,avenueroad&lynton,avenuerd
86,86,bathurst&patricia,bathurstst
87,87,murison&sheppard,murisonblvd&sheppardavee
88,88,gulliver&keele,gulliverrd&keelest
89,89,august&danforth,augustave&danforthave
90,90,eglington&kipling,eglintonavew&kiplingave
91,91,finch&hwy27,finchw427nramp&westhumbertrl
92,92,keele&tilburry,keelest&tilburydr
93,93,ellesmere&mccowan,ellesmererd&mccowanrd
94,94,jane&steeles,markbrooklane&steelesavew
95,95,baldoon&finchtomarkham,markhamrd
96,96,bedford&davenport,bedfordrd&davenportrd
97,97,jane&keele,hillsviewave&keelest
98,98,finch&weston,finchavew&westonrd
99,99,jane&trethewey,platinumdr&touchstonedr&tretheweyparkwesttrl
100,100,kingstonroad&scarboroughgolfclubroad,kingstonrd&scarboroughgolfclubrd
101,101,harbord&spadina,harbordst&spadinaave
102,102,kingstonrd&sheppard,kingstonrd
103,103,eglinton&oakwood,eglintonavew&oakwoodave
104,104,ellesmeresrt&kennedy,ellesmererd&kennedyrd
105,105,morningside&morningviewtrail,morningviewtrl
106,106,pharmacy&sheppard,pharmacyave&sheppardavee
107,107,finch&grantbrook,finchavew&grantbrookst
108,108,davenport&yonge,churchst&davenportrd&yongest
109,109,bellvue&weston,bellevuecres&westonrd
110,110,ellesmere&markham,ellesmererd&markhamrd
111,111,majmackenzie&ridgecrest,deecres
112,112,canarctic&petrolia,canarcticdr&petroliard
113,113,jane&wilson,janest&wilsonave
114,114,eglinton&jane,eglintonavew&janest
115,115,finch&tapscott,finchavee&tapscottrd
116,116,seneca&weston,senecaave&westonrd
117,117,&eglinton,401ce427nramp&eglintonw401xwramp
118,118,greenland&lawrence,greenlandrd&lawrenceavee
119,119,finch&kennedy,finchavee&kennedyrd
120,120,weston&wilson,westonrd
121,121,brentcliffe&wicksteed,brentclifferd&wicksteedave
122,122,sydneybelseycres&weston,sidneybelseycres&westonrd
123,123,lakeshore&marineparade,lakeshoreblvdw&marineparadedr
124,124,bloor&westmall,bloorstw&thewestmall
125,125,keele&lawrence,keelest&lawrenceavew
126,126,holidaydr&thewestmall,holidaydr&thewestmall
127,127,hilda&yonge,yongest
128,128,bradstock&weston,bradstockrd&westonrd
129,129,bayview&cummer,bayviewave&cummerave
130,130,islingtonave&norsemanave,islingtonave
131,131,&cedar&eglinton,cedardr&eglintonavee
132,132,birchmount&finch,birchmountrd&finchavee
133,133,davenport&spadina,davenportrd&spadinaparktrl&spadinard
134,134,keele&teston,keelest
135,135,lawrence&morningside,lawrenceavee&morningsideave
136,136,birchmount&stclair,birchmountrd&stclairavee
137,137,danforth&eglinton,danforthrd&eglintonavee
138,138,dufferin&eglinton,dufferinst&eglintonavew
139,139,eastmalltodanforth&warden,theeastmall
140,140,sheppard&victoriapk,sheppardavee&victoriaparkave
141,141,donmills&eglinton,donmillsrd&eglintonavee
142,142,steeles&yonge,yongest
143,143,bathurst&finch,bathurstst&finchavew
144,144,mountcastle&steeles,mountcastlegt&steelesavee
145,145,brimley&eglinton,brimleyrd&eglintonavee
146,146,overlea&thorncliffe,overleablvd&thorncliffeparkdr
147,147,donmillsrd&yorkmills,donmillsrd&yorkmillsrd
148,148,arrow&sheppard,arrowrd&sheppardavew
149,149,markham&nashdene,markhamrd&nashdenerd
150,150,eglintonave&northcliffe,eglintonavew&northcliffeblvd
151,151,conlins&ellesmere,conlinsrd&ellesmererd
152,152,church&jane,churchst&janest&mapleleafdr
153,153,carlton&parliament,carltonst&parliamentst
154,154,morningside&staines,morningsideave
155,155,donmills&leithhill,donmillsrd&leithhillrd
156,156,martingrove&westway,martingroverd&westdeaneparktrl
157,157,jane&lawrence35d,lawrenceavew&lnwjanenlawrence
158,158,dawes&ferris,dawesrd&ferrisrd
159,159,jane&lawrence,floristlane&lawrenceavee
160,160,baldoon&finch,baldoonrd&finchavee
161,161,jane&lawrene,floristlane&lawrenceavee
162,162,ness&yorkmills,nessdr&yorkmillsrd
163,163,jane&steeles35d,janest
164,164,commerce&skymark,markst
165,165,jane&weston,janest&westonrd
166,166,markham&steeles,markhamrd&steelesavee
167,167,kipling&steeles,evangelinecrt&ww1wkiplingssteeles
168,168,finch35d&jane,janest
169,169,victoria&weston,victoriablvd&westonrd
170,170,queen&wineva,queenste&winevaave
171,171,chaplincr.&tarltonrd.,chaplincres&tarltonrd
172,172,chaplin&eglinton,chaplincres&eglintonavew
173,173,bathurst&hotspur,bathurstst&hotspurrd
174,174,eglinton&leslie,lesliest
175,175,dixon&kipling,dixonrd&kiplingave
176,176,davenport&dovercourt,davenportrd&dovercourtrd
177,177,brentcliffe&eglinton,brentclifferd&eglintonavee
178,178,ray&weston,rayave&westonrd
179,179,church&lombard,churchst&lombardst
180,180,kennedy&steeles,kennedyrd&steelesavee
181,181,lawerence&yonge,yongest
