x,y,LOCAL_HOUR,WEATHER_ENG_DESC,WIND_DIRECTION,WINDCHILL,PRECIP_AMOUNT,DEW_POINT_TEMP_FLAG,HUMIDEX,ID,VISIBILITY_FLAG,CLIMATE_IDENTIFIER,WIND_SPEED_FLAG,RELATIVE_HUMIDITY,STATION_PRESSURE_FLAG,WEATHER_FRE_DESC,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,TEMP_FLAG,UTC_MONTH,UTC_DAY,LOCAL_DATE,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,TEMP,UTC_YEAR,HUMIDEX_FLAG,WIND_SPEED,LOCAL_DAY,WIND_DIRECTION_FLAG,DEW_POINT_TEMP,LOCAL_MONTH,UTC_DATE,WINDCHILL_FLAG,VISIBILITY
-79.39611111111111,43.6275,0,Snow,5,-17,,,,6158359.2011.2.2.0,,6158359,,85,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 00:00:00,,,101.12,-8.0,2011,,33,2,,-10.1,2,2011-02-02T05:00:00,,1.6
-79.39611111111111,43.6275,1,Snow,5,-19,,,,6158359.2011.2.2.1,,6158359,,87,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 01:00:00,,,100.84,-8.0,2011,,46,2,,-9.8,2,2011-02-02T06:00:00,,1.2
-79.39611111111111,43.6275,2,Snow,6,-19,,,,6158359.2011.2.2.2,,6158359,,88,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 02:00:00,,,100.43,-8.0,2011,,46,2,,-9.7,2,2011-02-02T07:00:00,,1.2
-79.39611111111111,43.6275,3,Snow,5,-19,,,,6158359.2011.2.2.3,,6158359,,89,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 03:00:00,,,100.31,-8.0,2011,,46,2,,-9.5,2,2011-02-02T08:00:00,,1.2
-79.39611111111111,43.6275,4,Moderate Snow,5,-18,,,,6158359.2011.2.2.4,,6158359,,89,,Neige modérée,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 04:00:00,,,99.97,-8.0,2011,,44,2,,-9.5,2,2011-02-02T09:00:00,,0.8
-79.39611111111111,43.6275,5,Snow,5,-17,,,,6158359.2011.2.2.5,,6158359,,86,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 05:00:00,,,99.89,-8.0,2011,,33,2,,-10.0,2,2011-02-02T10:00:00,,1.6
-79.39611111111111,43.6275,6,Moderate Snow,4,-18,,,,6158359.2011.2.2.6,,6158359,,89,,Neige modérée,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 06:00:00,,,99.76,-9.0,2011,,30,2,,-10.5,2,2011-02-02T11:00:00,,0.6
-79.39611111111111,43.6275,7,Snow,3,-17,,,,6158359.2011.2.2.7,,6158359,,86,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 07:00:00,,,99.75,-9.0,2011,,24,2,,-10.9,2,2011-02-02T12:00:00,,1.2
-79.39611111111111,43.6275,8,Snow,3,-16,,,,6158359.2011.2.2.8,,6158359,,85,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 08:00:00,,,99.75,-8.0,2011,,24,2,,-10.1,2,2011-02-02T13:00:00,,2
-79.39611111111111,43.6275,9,Snow,3,-16,,,,6158359.2011.2.2.9,,6158359,,83,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 09:00:00,,,99.68,-8.0,2011,,26,2,,-10.4,2,2011-02-02T14:00:00,,3.2
-79.39611111111111,43.6275,10,Snow,3,-16,,,,6158359.2011.2.2.10,,6158359,,81,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 10:00:00,,,99.71,-8.0,2011,,21,2,,-10.7,2,2011-02-02T15:00:00,,3.6
-79.39611111111111,43.6275,11,Snow,4,-15,,,,6158359.2011.2.2.11,,6158359,,76,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 11:00:00,,,99.69,-8.0,2011,,17,2,,-11.5,2,2011-02-02T16:00:00,,4.8
-79.39611111111111,43.6275,12,Snow,36,-13,,,,6158359.2011.2.2.12,,6158359,,75,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 12:00:00,,,99.8,-7.0,2011,,15,2,,-10.7,2,2011-02-02T17:00:00,,8
-79.39611111111111,43.6275,13,Snow,35,-15,,,,6158359.2011.2.2.13,,6158359,,78,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 13:00:00,,,99.8,-8.0,2011,,18,2,,-11.2,2,2011-02-02T18:00:00,,8
-79.39611111111111,43.6275,14,Snow,35,-14,,,,6158359.2011.2.2.14,,6158359,,80,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 14:00:00,,,99.89,-8.0,2011,,15,2,,-10.9,2,2011-02-02T19:00:00,,2.4
-79.39611111111111,43.6275,15,Snow,35,-14,,,,6158359.2011.2.2.15,,6158359,,79,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 15:00:00,,,100.01,-8.0,2011,,15,2,,-11.0,2,2011-02-02T20:00:00,,2.8
-79.39611111111111,43.6275,16,Snow,34,-15,,,,6158359.2011.2.2.16,,6158359,,75,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 16:00:00,,,100.14,-7.0,2011,,24,2,,-10.7,2,2011-02-02T21:00:00,,4.8
-79.39611111111111,43.6275,17,Snow,33,-13,,,,6158359.2011.2.2.17,,6158359,,76,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 17:00:00,,,100.36,-7.0,2011,,17,2,,-10.5,2,2011-02-02T22:00:00,,6.4
-79.39611111111111,43.6275,18,Snow,35,-15,,,,6158359.2011.2.2.18,,6158359,,71,,Neige,TORONTO CITY CENTRE,ON,2011,,2,2,2011-02-02 18:00:00,,,100.55,-8.0,2011,,18,2,,-12.4,2,2011-02-02T23:00:00,,16.1
