stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
262,662,Danforth Rd at Kennedy Rd,,43.714379,-79.260939,,,,,,1
263,929,Davenport Rd at Bedford Rd,,43.674448,-79.399659,,,,,,1
264,940,Davenport Rd at Dupont St,,43.675511,-79.401938,,,,,,2
265,1871,Davisville Ave at Cleveland St,,43.702088,-79.378112,,,,,,1
266,11700,Disco Rd at Attwell Dr,,43.701362,-79.594843,,,,,,1
267,3478,Disco Rd at Attwell Dr,,43.701043,-79.595806,,,,,,1
268,3479,Disco Rd at Carlingview Dr East Side,,43.69981,-79.600769,,,,,,1
269,3480,Disco Rd at Carlingview Dr,,43.699929,-79.601176,,,,,,1
270,14258,Don Mills Rd at Eglinton Ave East,,43.720674,-79.339121,,,,,,1
271,9125,Don Mills Rd at Eglinton Ave East North Side,,43.721373,-79.338926,,,,,,1
273,14255,Don Mills Rd at Lawrence Ave East South Side,,43.736625,-79.343442,,,,,,1
274,1950,Don Mills Rd at Leith Hill Rd,,43.777291,-79.348163,,,,,,1
278,1974,Don Mills Rd at Steeles Ave East,,43.81104,-79.360513,,,,,,1
279,1975,Don Mills Rd at Van Horne Ave,,43.787246,-79.352783,,,,,,1
280,1977,Don Mills Rd at Wynford Dr,,43.722851,-79.339326,,,,,,1
284,5006,Doncaster Ave at Main St West Side,,43.691659,-79.303796,,,,,,1
285,5007,Doncaster Ave at Main St,,43.691607,-79.303525,,,,,,1
286,5008,Doncaster Ave at Main St,,43.691816,-79.303103,,,,,,1
289,9288,Drewry Ave at Gardenia Crt,,43.78388,-79.431676,,,,,,1
290,9275,Drewry Ave at Grantbrook St,,43.783607,-79.433593,,,,,,1
291,979,Dufferin St at Yorkdale Rd,,43.726531,-79.457356,,,,,,1
293,985,Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre,,43.725083,-79.456993,,,,,,1
294,11630,Dufferin Mall,,43.655795,-79.434031,,,,,,1
295,9856,Dundas St West at Bloor St West,,43.656442,-79.452572,,,,,,2
296,9942,Dundas St West at Jane St East Side,,43.665583,-79.490433,,,,,,2
297,9943,Dundas St West at Jane St West Side,,43.66578,-79.492146,,,,,,2
298,4455,Dundas St West at Runnymede Rd West Side,,43.66565,-79.482921,,,,,,1
300,13702,Dundas St West at Dundas West Outer Platform,,43.656768,-79.453253,,,,,,2
303,13898,Duplex Ave at Eglinton Ave West,,43.70623,-79.400108,,,,,,2
307,11651,East York Town Centre,,43.705908,-79.347132,,,,,,2
308,11181,Eastern Ave at Queen St East South Side,,43.666788,-79.312738,,,,,,1
310,9855,Edna Ave at Dundas St West,,43.657134,-79.453027,,,,,,1
312,2240,Eglinton Ave East at Bayview Ave East Side,,43.711112,-79.376375,,,,,,2
317,2253,Eglinton Ave East at Brimley Rd West Side,,43.736674,-79.248799,,,,,,1
320,3539,Eglinton Ave East at Kennedy Station,,43.732292,-79.267117,,,,,,1
321,5071,Eglinton Ave East at Laird Dr,,43.713371,-79.365372,,,,,,1
322,2288,Eglinton Ave East at Markham Rd West Side,,43.743168,-79.219635,,,,,,1
323,1036,Eglinton Ave East at Midland Ave West Side,,43.734493,-79.258911,,,,,,1
330,11488,Eglinton Ave West at Avenue Rd East Side,,43.704641,-79.407957,,,,,,1
331,9897,Eglinton Ave West at Yonge St,,43.706456,-79.399437,,,,,,1
336,2354,Eglinton Ave West at Glenarden Rd,,43.699564,-79.432546,,,,,,1
337,2366,Eglinton Ave West at Jane St East Side,,43.68452,-79.498076,,,,,,1
338,2380,Eglinton Ave West at Marlee Ave,,43.698127,-79.439204,,,,,,1
339,13440,Eglinton Ave West at Marlee Ave,,43.698177,-79.438962,,,,,,1
340,2388,Eglinton Ave West at Oakwood Ave,,43.697197,-79.442946,,,,,,1
342,9383,Eglinton Ave West at Weston Rd,,43.68671,-79.489925,,,,,,1
343,2419,Eglinton Ave West at Weston Rd,,43.687153,-79.489369,,,,,,1
344,9898,Eglinton Ave West at Yonge St West Side,,43.706695,-79.398957,,,,,,1
345,11506,Eighth St at Birmingham St,,43.602795,-79.507259,,,,,,2
346,3543,Eighth St at Lake Shore Blvd West North Side,,43.60078,-79.506431,,,,,,1
348,10904,Ellesmere Rd at Mirrow Crt,,43.787289,-79.185159,,,,,,2
349,9622,Ellesmere Rd at East Service Rd,,43.767379,-79.273102,,,,,,2
