route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
70443,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
70226,1,10,VAN HORNE,,3,,FF0000,FFFFFF
70227,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
70228,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
70229,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
70230,1,104,FAYWOOD,,3,,FF0000,FFFFFF
70231,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
70232,1,106,SENTINEL,,3,,FF0000,FFFFFF
70233,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
70234,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
70235,1,109,RANEE,,3,,FF0000,FFFFFF
70236,1,11,BAYVIEW,,3,,FF0000,FFFFFF
70237,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
70238,1,111,EAST MALL,,3,,FF0000,FFFFFF
70239,1,112,WEST MALL,,3,,FF0000,FFFFFF
70240,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
70241,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
70242,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
70243,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
70244,1,119,TORBARRIE,,3,,FF0000,FFFFFF
70245,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
70246,1,120,CALVINGTON,,3,,FF0000,FFFFFF
70247,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
70248,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
70249,1,123,SHERWAY,,3,,FF0000,FFFFFF
70250,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
70251,1,125,DREWRY,,3,,FF0000,FFFFFF
70252,1,126,CHRISTIE,,3,,FF0000,FFFFFF
70253,1,127,DAVENPORT,,3,,FF0000,FFFFFF
70254,1,128,STANLEY GREENE,,3,,FF0000,FFFFFF
70255,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
70256,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
70257,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
70258,1,131,NUGGET,,3,,FF0000,FFFFFF
70259,1,132,MILNER,,3,,FF0000,FFFFFF
70260,1,133,NEILSON,,3,,FF0000,FFFFFF
70261,1,134,PROGRESS,,3,,FF0000,FFFFFF
70262,1,135,GERRARD,,3,,FF0000,FFFFFF
70263,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
70264,1,15,EVANS,,3,,FF0000,FFFFFF
70265,1,16,McCOWAN,,3,,FF0000,FFFFFF
70266,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
70267,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
70268,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
70269,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
70270,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
70271,1,168,SYMINGTON,,3,,FF0000,FFFFFF
70272,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
70273,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
70274,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
70275,1,176,MIMICO GO,,3,,FF0000,FFFFFF
70276,1,184,ANCASTER PARK,,3,,FF0000,FFFFFF
70277,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
70278,1,19,BAY,,3,,FF0000,FFFFFF
70444,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
70279,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
70284,1,21,BRIMLEY,,3,,FF0000,FFFFFF
70285,1,22,COXWELL,,3,,FF0000,FFFFFF
70286,1,23,DAWES,,3,,FF0000,FFFFFF
70287,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
70288,1,25,DON MILLS,,3,,FF0000,FFFFFF
70289,1,26,DUPONT,,3,,FF0000,FFFFFF
70290,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
70291,1,29,DUFFERIN,,3,,FF0000,FFFFFF
70292,1,30,HIGH PARK NORTH,,3,,FF0000,FFFFFF
70293,1,300,BLOOR-DANFORTH NIGHT BUS,,3,,0000FF,FFFFFF
70294,1,301,QUEEN,,0,,0000FF,FFFFFF
70295,1,302,KINGSTON RD-McCOWAN NIGHT BUS,,3,,0000FF,FFFFFF
70296,1,304,KING,,0,,0000FF,FFFFFF
70297,1,306,CARLTON,,0,,0000FF,FFFFFF
70298,1,307,BATHURST NIGHT BUS,,3,,0000FF,FFFFFF
70299,1,31,GREENWOOD,,3,,FF0000,FFFFFF
70300,1,310,SPADINA,,0,,0000FF,FFFFFF
70301,1,312,ST.CLAIR-JUNCTION NIGHT BUS,,3,,0000FF,FFFFFF
70302,1,315,EVANS - BROWN'S LINE NIGHT BUS,,3,,0000FF,FFFFFF
70303,1,32,EGLINTON WEST,,3,,FF0000,FFFFFF
70304,1,320,YONGE NIGHT BUS,,3,,0000FF,FFFFFF
70305,1,322,COXWELL NIGHT BUS,,3,,0000FF,FFFFFF
