Unnamed: 0,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,maintenance,sqft_min,sqft_max,sqft_avg
0,57 - 270 Timberbank Boulevard,,699888,3.0,3.0,1400-1599 ,,https://www.zolo.ca/toronto-real-estate/270-timberbank-boulevard/57,"270 Timberbank boulevard, Toronto ",M1W2M1,43.7969,-79.3075,Townhouse,2022-03-14,2-Storey,No Data,"$2,188 /yr","
$529 /mo ",1400,1599,1499.5
3,24 Marlebon Road,,999900,3.0,2.0,1500-2000 ,,https://www.zolo.ca/toronto-real-estate/24-marlebon-road,"24 Marlebon road, Toronto ",M9V3W2,43.749,-79.6034,Detached,2022-03-14,Sidesplit 3,No Data,"$3,147 /yr",,1500,2000,1750.0
4,34 Ferris Road,,1199000,2.0,2.0,700-1100 ,,https://www.zolo.ca/toronto-real-estate/34-ferris-road,"34 Ferris road, Toronto ",M4B1G3,43.7013,-79.3082,Detached,2022-03-14,Bungalow-Raised,No Data,"$4,063 /yr",,700,1100,900.0
5,Ph37 - 300 Mill Road,,949000,3.0,3.0,1800-1999 ,,https://www.zolo.ca/toronto-real-estate/300-mill-road/ph37,"300 Mill road, Toronto ",M9C4W7,43.6387,-79.5843,Condo,2022-03-14,2-Storey,No Data,"$3,080 /yr","
$1,675 /mo ",1800,1999,1899.5
8,1611 - 31 Tippett Road,,899000,2.0,2.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/31-tippett-road/1611,"31 Tippett road, Toronto M",3H 0C8,43.7335,-79.4461,Condo,2022-03-14,Apartment,No Data,No Data,"
$595 /mo ",800,899,849.5
9,258 Patricia Avenue,,2998000,4.0,7.0,3500-5000 ,,https://www.zolo.ca/toronto-real-estate/258-patricia-avenue,"258 Patricia avenue, Toronto ",M2M1J8,43.7874,-79.4321,Detached,2022-03-14,2-Storey,No Data,"$13,162 /yr",,3500,5000,4250.0
10,303 - 2150 Lawrence Avenue East,,649000,2.0,2.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/2150-lawrence-avenue-east/303,"2150 Lawrence avenue, Toronto ",M1R3A7,43.7479,-79.2862,Condo,2022-03-14,Apartment,No Data,"$1,861 /yr","
$549 /mo ",800,899,849.5
11,608 - 33 Charles Street East,,749000,1.0,1.0,600-699 ,,https://www.zolo.ca/toronto-real-estate/33-charles-street-east/608,"33 Charles street, Toronto M",4Y 0A2,43.6686,-79.3845,Condo,2022-03-14,Multi-Level,No Data,"$2,872 /yr","
$645 /mo ",600,699,649.5
13,5 - 13 Eaton Park Lane,,699000,2.0,2.0,1000-1199 ,,https://www.zolo.ca/toronto-real-estate/13-eaton-park-lane/5,"13 Eaton Park Lane, Toronto ",M1W0A5,43.7943,-79.31,Townhouse,2022-03-14,Stacked Townhse,No Data,"$2,194 /yr","
$209 /mo ",1000,1199,1099.5
14,112 Beverley Street,,2268000,6.0,6.0,2500-3000 ,,https://www.zolo.ca/toronto-real-estate/112-beverley-street,"112 Beverley street, Toronto ",M5T1Y2,43.6534,-79.3939,Duplex,2022-03-14,3-Storey,No Data,"$7,357 /yr",,2500,3000,2750.0
15,1808 - 170 Fort York Boulevard,,599000,1.0,1.0,500-599 ,,https://www.zolo.ca/toronto-real-estate/170-fort-york-boulevard/1808,"170 Fort York boulevard, Toronto ",M5V0E6,43.6394,-79.3997,Condo,2022-03-14,Apartment,No Data,"$1,729 /yr","
$433 /mo ",500,599,549.5
16,41 Claymore Drive,,1400000,3.0,2.0,1100-1500 ,,https://www.zolo.ca/toronto-real-estate/41-claymore-drive,"41 Claymore Drive, Toronto ",M8Z2S3,43.6365,-79.5139,Detached,2022-03-14,Sidesplit 3,No Data,"$5,591 /yr",,1100,1500,1300.0
17,212 - 230 King Street East,,689000,1.0,1.0,700-799 ,,https://www.zolo.ca/toronto-real-estate/230-king-street-east/212,"230 King street, Toronto ",M5A1K5,43.6516,-79.3679,Condo,2022-03-14,Apartment,No Data,"$2,444 /yr","
$676 /mo ",700,799,749.5
18,54 Wycombe Road,,1200000,3.0,3.0,1500-2000 ,,https://www.zolo.ca/toronto-real-estate/54-wycombe-road,"54 Wycombe road, Toronto ",M3M2W7,43.7427,-79.4886,Att/Row/Twnhouse,2022-03-14,2-Storey,No Data,"$3,189 /yr",,1500,2000,1750.0
19,Ph03 - 18 Stafford Street,,699000,1.0,1.0,700-799 ,,https://www.zolo.ca/toronto-real-estate/18-stafford-street/ph03,"18 Stafford street, Toronto ",M5V3W4,43.6414,-79.4107,Condo,2022-03-14,Apartment,No Data,"$2,536 /yr","
$486 /mo ",700,799,749.5
22,2808 - 159 Wellesley Street East,,949000,3.0,2.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/159-wellesley-street-east/2808,"159 Wellesley street, Toronto ",M4Y0H5,43.6666,-79.375,Condo,2022-03-14,Apartment,No Data,"$3,119 /yr","
$751 /mo ",800,899,849.5
23,407 - 156 Portland Street,,659000,1.0,1.0,600-699 ,,https://www.zolo.ca/toronto-real-estate/156-portland-street/407,"156 Portland street, Toronto ",M5V0G1,43.6471,-79.4014,Condo,2022-03-14,Apartment,No Data,"$2,469 /yr","
$501 /mo ",600,699,649.5
24,10 Sawden Avenue,,1099000,2.0,3.0,1500-2000 ,,https://www.zolo.ca/toronto-real-estate/10-sawden-avenue,"10 Sawden avenue, Toronto ",M4L1V9,43.6683,-79.3304,Semi-Detached,2022-03-12,2-Storey,No Data,"$4,265 /yr",,1500,2000,1750.0
25,3013 - 33 Harbour Square,,499000,0.0,1.0,500-599 ,,https://www.zolo.ca/toronto-real-estate/33-harbour-square/3013,"33 Harbour square, Toronto ",M5J2G2,43.6399,-79.3772,Condo,2022-03-13,Apartment,No Data,"$1,833 /yr","
$499 /mo ",500,599,549.5
27,808 - 19 Grand Truck Crescent,,728000,1.0,1.0,600-699 ,,https://www.zolo.ca/toronto-real-estate/19-grand-truck-crescent/808,"19 Grand Truck Crescent, Toronto ",M5J3A3,43.6417,-79.3827,Condo,2022-03-13,Apartment,No Data,"$2,279 /yr","
$479 /mo ",600,699,649.5
29,Ph109 - 260 Doris Avenue,,880000,2.0,2.0,900-999 ,,https://www.zolo.ca/toronto-real-estate/260-doris-avenue/ph109,"260 Doris avenue, Toronto ",M2N6X9,43.7722,-79.4124,Condo,2022-03-13,Multi-Level,No Data,"$2,438 /yr","
$780 /mo ",900,999,949.5
31,404 - 1 St Johns Road,,599000,1.0,1.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/1-st-johns-road/404,"1 St Johns road, Toronto M",6P 1T7,43.6653,-79.4738,Condo,2022-03-13,Apartment,No Data,"$2,352 /yr","
$940 /mo ",800,899,849.5
32,491 Euclid Avenue,,1749000,4.0,4.0,2500-3000 ,,https://www.zolo.ca/toronto-real-estate/491-euclid-avenue,"491 Euclid avenue, Toronto ",M6G2T1,43.6582,-79.4121,Semi-Detached,2022-03-12,2 1/2 Storey,No Data,"$8,047 /yr",,2500,3000,2750.0
34,107 - 45 Strangford Lane East,,599000,3.0,2.0,1000-1199 ,,https://www.zolo.ca/toronto-real-estate/45-strangford-lane-east/107,"45 Strangford Lane, Toronto ",M1L0E5,43.7099,-79.2943,Townhouse,2022-03-13,Stacked Townhse,No Data,"$1,876 /yr","
$456 /mo ",1000,1199,1099.5
35,3202 - 16 Bonnycastle Street,,895000,1.0,2.0,700-799 ,,https://www.zolo.ca/toronto-real-estate/16-bonnycastle-street/3202,"16 Bonnycastle street, Toronto ",M5A4M6,43.6461,-79.365,Condo,2022-03-12,Apartment,No Data,"$3,483 /yr","
$586 /mo ",700,799,749.5
36,#411 - 20 Richardson Street West,,448800,0.0,2.0,0-499 ,,https://www.zolo.ca/toronto-real-estate/20-richardson-street-west,"20 Richardson street, Toronto ",M5A4J9,43.6455,-79.3687,Condo,2022-03-13,Apartment,No Data,"$1,768 /yr","
$305 /mo ",0,499,249.5
37,3109 - 197 Yonge Street,,998000,3.0,2.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/197-yonge-street/3109,"197 Yonge street, Toronto ",M5B1M4,43.6534,-79.3792,Condo,2022-03-13,Apartment,No Data,"$3,599 /yr","
$915 /mo ",800,899,849.5
38,1007 - 88 Alton Towers Circle,,580000,1.0,1.0,700-799 ,,https://www.zolo.ca/toronto-real-estate/88-alton-towers-circle/1007,"88 Alton Towers Circle, Toronto ",M1V5C5,43.8248,-79.2745,Condo,2022-03-13,Apartment,No Data,"$1,326 /yr","
$430 /mo ",700,799,749.5
39,405 - 18 Harbour Street,,949000,2.0,2.0,800-899 ,,https://www.zolo.ca/toronto-real-estate/18-harbour-street/405,"18 Harbour street, Toronto ",M5J2Z6,43.6428,-79.377,Condo,2022-03-13,Apartment,No Data,"$3,139 /yr","
$566 /mo ",800,899,849.5
41,202 - 4064 Lawrence Avenue East,,369000,4.0,3.0,1800-1999 ,,https://www.zolo.ca/toronto-real-estate/4064-lawrence-avenue-east/202,"4064 Lawrence avenue, Toronto ",M1E4V6,43.7669,-79.1976,Townhouse,2022-03-13,3-Storey,No Data,"$1,020 /yr","
$1,756 /mo ",1800,1999,1899.5
42,303 - 50 Forest Manor Road,,699999,1.0,2.0,500-599 ,,https://www.zolo.ca/toronto-real-estate/50-forest-manor-road/303,"50 Forest Manor road, Toronto M",2J 0E3,43.7727,-79.3454,Condo,2022-03-13,Apartment,No Data,"$2,041 /yr","
$477 /mo  ",500,599,549.5
43,521 Roxton Road,,1649000,4.0,4.0,1500-2000 ,,https://www.zolo.ca/toronto-real-estate/521-roxton-road,"521 Roxton road, Toronto ",M6G3R5,43.6613,-79.4238,Duplex,2022-03-13,2 1/2 Storey,No Data,"$5,957 /yr",,1500,2000,1750.0
44,4 Finchley Road,,2495000,4.0,3.0,3000-3500 ,,https://www.zolo.ca/toronto-real-estate/4-finchley-road,"4 Finchley road, Toronto ",M9A2X3,43.6592,-79.5267,Detached,2022-03-12,2-Storey,No Data,"$7,270 /yr",,3000,3500,3250.0
45,61 Lynvalley Crescent,,1088000,3.0,2.0,1100-1500 ,,https://www.zolo.ca/toronto-real-estate/61-lynvalley-crescent,"61 Lynvalley Crescent, Toronto ",M1R2V1,43.7502,-79.3084,Detached,2022-03-12,Bungalow,No Data,"$4,008 /yr",,1100,1500,1300.0
47,112 - 6 Eva Road,,529000,1.0,1.0,500-599 ,,https://www.zolo.ca/toronto-real-estate/6-eva-road/112,"6 Eva road, Toronto M",9C 0B1,43.6403,-79.5625,Condo,2022-03-13,Multi-Level,No Data,"$1,600 /yr","
$440 /mo ",500,599,549.5
48,Th30 - 19 Valhalla Inn Road,,899000,3.0,3.0,1200-1399 ,,https://www.zolo.ca/toronto-real-estate/19-valhalla-inn-road/th30,"19 Valhalla Inn road, Toronto ",M9B0B3,43.6403,-79.5587,Townhouse,2022-03-12,3-Storey,No Data,"$3,106 /yr","
$331 /mo ",1200,1399,1299.5
