,fuzz_locations,fuzzed
0,lawrence&warden,warden
1,lawrence&scarboroughgolfclubrd,lawrenceeast&scarboroughgolfclub
2,danforthave&victoriapark,danforth&victoriapark
3,victoria&park&danforthave.,danforth
4,charlottetown&lawrence,ion&lawrence
5,brimley&lawrence,brimley
6,bloor&lansdowne,lansdowne
7,mccowan&steeles,mccowan
8,bloor&oldmill,bloorwest&oldmill
9,danforth&danforth,danforth
10,founders&steeles,keele
11,islington&rexdale,islington&rexdaleblvdsouth
12,keele&st.clair,keele
13,bathurst&steeles.,keele
14,bathurst&wilson,wilson
15,bermondsay&eglinton,bermondsey&eglintoneast
16,morningside&nightstar,morningside
17,dynamic&mcnicoll,mcnicoll
18,finch&mccowan,mccowan
19,kennedy&sheppard,kennedy
20,albion&westonrd,albion&weston
21,annette&highparkave.,annette&highpark
22,dockside&queensquay,dockside&queensquayeast
23,allenrd.&transitrd.,mabelle
24,boroughdr&trinton,borough&triton
25,finch&keele,keele
26,bathurst&woburn,b&hurst&woburn
27,sheppard&victoriapark,oldsheppard&victoriapark
28,kennedy&lawrence,kennedy
29,steeles&yonge,yonge
30,dufferin&rutherford,dufferin
31,confederation&dufferin,dufferin
32,brimley&steeles,brimley
33,midland&steeles,midland
34,finch&jane,jane
35,dollyvardon&ellesmere,ellesmere
36,eglintonwest&northcliffe,eglintonwest&northcliffeblvd
37,lawrence&manse,lawrenceeast&mansewest
38,bathurst&steeles,b&hurst&eeleswest
39,eglintonwest&northcliff,eglintonwest&northcliffeblvd
40,millwood&overlea,millwood&overleablvdnorth
41,jane35d&sheppard,jane
42,ferris&rexleigh,rexleigh
43,bloor&sherbourne,sherbourne
44,finch&lorraine,aines
45,donmills&duncanmills,donmills&duncanmill
46,bloor&dufferin,dufferin
47,keele&majormackenzie,keele
48,eglinton&kingston,kingston
49,steeles&woodbine,eeleseast&woodbine
50,hambly&queen,hambly&queeneastnorth
51,lawrence&weston,weston
52,lawrence&pine,lawrencewest&pine
53,lipponcott&weston,weston
54,islington&lakeshore,islington
55,eglintonave&northcliffeblvd,eglintonwest&northcliffeblvd
56,dufferin&tycos,tycos
57,overlea&throncliff,overleablvd&thorncliffepark
58,finch&sandhurstcirclew,fincheast&sandhurstcir
59,eglinton&keele,keele
60,durant&mortimer,dunkirk&mortimer
61,donmills&overlea,donmills
62,driftwood&jane,iftwood&jane
63,finch&victoriapark,fincheast&victoriapark
64,malverngate&sheppard,malvern&sheppardeast
65,macdonal&queen,macdonell&queenwestnorth
66,jane&sheppard,jane
67,adelaide&parliament,adelaideeast&parliament
68,dufferin&stclair,dufferin
69,chaplin&roselawn,chaplincres&roselawn
70,overlea&thorncliffepark,overleablvd&thorncliffepark
71,avenueroad&lynton,davean
72,bathurst&patricia,b&hurst&alcina
73,murison&sheppard,min&sheppardwest
74,eglington&kipling,kipling
75,finch&hwy27,finchw&humbercollegeblvd
76,keele&tilburry,keele&tilbury
77,jane&steeles,jane
78,baldoon&finch$markham,markham
79,jane&keele,jane
80,finch&weston,weston
81,kingstonroad&scarboroughgolfclubroad,kingston
82,kingstonrd&sheppard,kingston
83,eglinton&oakwood,eglintonwest&oakwood
84,ellesmeresrt&kennedy,ellesmere&kennedy
85,pharmacy&sheppard,pharmacy
86,finch&grantbrook,finchwest&grantbrook
87,caledonia&lawrence,caledonia
88,bellvue&weston,weston
89,majmackenzie&ridgecrest,majormackenzieeast&ridgecrest
90,caledonia&eglinton,caledonia
91,eglinton&jane,jane
92,finch&tapscott,tapscott
93,&eglinton,donmills&eglintoneast
94,kipling&westway,kipling&thewestway
95,greenland&lawrence,greenlandeast&lawrenceeast
96,finch&kennedy,kennedy
97,weston&wilson,weston
98,sydneybelseycres&weston,sidneybelseycres&weston
99,lakeshore&marineparade,marineparade
100,bloor&westmall,bloorwest&mill
101,keele&lawrence,keele&lawrencewestnorth
102,holidaydr&thewestmall,holiday&thewestmall
103,hilda&yonge,yonge
104,coxwell&dundas,coxwell&dundaseast
105,islingtonave&norsemanave,islington
106,&cedar&eglinton,cedar&eglintoneast
107,birchmount&finch,birchmount
108,keele&teston,keele
109,lawrence&morningside,lawrenceeast&morningside
110,birchmount&stclair,birchmount
111,danforth&eglinton,danforth
112,dufferin&eglinton,dufferin
113,eastmall$danforth&warden,danforth
114,sheppard&victoriapk,oldsheppard&victoriapark
115,eglinton&yonge,yonge
116,donmills&eglinton,donmills&eglintoneastnorth
117,bathurst&finch,b&hurst&finchwestsouth
118,mountcastle&steeles,mountcastleg&e&eeleseast
119,brimley&eglinton,brimley
120,overlea&thorncliffe,overleablvd&thorncliffepark
121,finch&humberline,finchwest&humberline
122,donmillsrd&yorkmills,donmills&yorkmills
123,arrow&sheppard,arrow
124,baldoon&finch,baldoon&fincheastsouth
125,eglintonave&northcliffe,eglintonwest&northcliffeblvd
126,morningside&staines,morningside
127,martingrove&westway,martingrove&thewestway
128,jane&lawrence35d,jane
129,jane&lawrence,jane
130,jane&lawrene,jane
131,ness&yorkmills,yorkmills
132,eglinton&northcliffe,eglintonwest&northcliffeblvd
133,jane&steeles35d,jane
134,commerce&skymark,cummer
135,markham&steeles,markham
136,kipling&steeles,kipling
137,finch35d&jane,jane
138,victoria&weston,weston
139,donmills&finch,donmills
140,queen&wineva,queeneast&wineva
141,chaplincr.&tarltonrd.,chaplincres
142,chaplin&eglinton,chaplincres&eglintonwest
143,bathurst&hotspur,b&hurst&woburn
144,eglinton&leslie,leslie
145,brentcliffe&eglinton,brentcliffe&eglintoneast
146,church&lombard,church
147,kennedy&steeles,kennedy
