,fuzz_locations
0,lawrence&warden
1,ellesmere&victoriapark
2,markham&passmore
3,lawrence&scarboroughgolfclubrd
4,danforthave&victoriapark
5,charlottetown&lawrence
6,bridley&mccowan
7,hullmar&jane
8,brimley&lawrence
9,bloor&lansdowne
10,mccowan&steeles
11,bloor&oldmill
12,danforth&danforth
13,founders&steeles
14,islington&rexdale
15,keele&st.clair
16,bathurst&steeles.
17,bathurst&wilson
18,morningside&nightstar
19,finch&mccowan
20,kennedy&sheppard
21,donmills&freshmeadow
22,bedford&dupont
23,albion&westonrd
24,annette&highparkave.
25,dockside&queensquay
26,allenrd.&transitrd.
27,boroughdr&trinton
28,beaconhill&kipling
29,finch&keele
30,coxwell&danforth
31,bathurst&woburn
32,sheppard&victoriapark
33,kennedy&lawrence
34,markham&nugget
35,crowtrail&neilson
36,dufferin&rutherford
37,rogers&weston
38,confederation&dufferin
39,brimley&steeles
40,danforth&victoriapark
41,midland&steeles
42,finch&jane
43,dollyvardon&ellesmere
44,lawrence&manse
45,bathurst&steeles
46,jane&lambton
47,millwood&overlea
48,jane35d&sheppard
49,kennedy&passmore
50,ferris&rexleigh
51,bloor&sherbourne
52,finch&lorraine
53,donmills&duncanmills
54,albion&weston
55,davenport&lansdowne
56,bloor&dufferin
57,keele&majormackenzie
58,eglinton&kingston
59,steeles&woodbine
60,hambly&queen
61,lawrence&weston
62,lawrence&pine
63,lipponcott&weston
64,islington&lakeshore
65,dufferin&tycos
66,keele&wilson
67,cleveland&davisville
68,overlea&throncliff
69,finch&sandhurstcirclew
70,eglinton&keele
71,durant&mortimer
72,donmills&overlea
73,dufferin&liberty
74,driftwood&jane
75,oakwood&vaughan
76,finch&victoriapark
77,macdonal&queen
78,jane&sheppard
79,adelaide&parliament
80,dufferin&stclair
81,bay&hagerman
82,chaplin&roselawn
83,dufferin&hope
84,overlea&thorncliffepark
85,avenueroad&lynton
86,bathurst&patricia
87,murison&sheppard
88,gulliver&keele
89,august&danforth
90,eglington&kipling
91,finch&hwy27
92,keele&tilburry
93,ellesmere&mccowan
94,jane&steeles
95,baldoon&finchtomarkham
96,bedford&davenport
97,jane&keele
98,finch&weston
99,jane&trethewey
100,kingstonroad&scarboroughgolfclubroad
101,harbord&spadina
102,kingstonrd&sheppard
103,eglinton&oakwood
104,ellesmeresrt&kennedy
105,morningside&morningviewtrail
106,pharmacy&sheppard
107,finch&grantbrook
108,davenport&yonge
109,bellvue&weston
110,ellesmere&markham
111,majmackenzie&ridgecrest
112,canarctic&petrolia
113,jane&wilson
114,eglinton&jane
115,finch&tapscott
116,seneca&weston
117,&eglinton
118,greenland&lawrence
119,finch&kennedy
120,weston&wilson
121,brentcliffe&wicksteed
122,sydneybelseycres&weston
123,lakeshore&marineparade
124,bloor&westmall
125,keele&lawrence
126,holidaydr&thewestmall
127,hilda&yonge
128,bradstock&weston
129,bayview&cummer
130,islingtonave&norsemanave
131,&cedar&eglinton
132,birchmount&finch
133,davenport&spadina
134,keele&teston
135,lawrence&morningside
136,birchmount&stclair
137,danforth&eglinton
138,dufferin&eglinton
139,eastmalltodanforth&warden
140,sheppard&victoriapk
141,donmills&eglinton
142,steeles&yonge
143,bathurst&finch
144,mountcastle&steeles
145,brimley&eglinton
146,overlea&thorncliffe
147,donmillsrd&yorkmills
