Month,Mean_Delay,Total_Delays,Short_Delays,Medium_Delays,Long_Delays,Crippling_Delays
2014-01,12.651288318566046,9819,2330,5680,1589,220
2014-02,16.15368498890806,8114,1728,4719,1382,285
2014-03,45.41302474455251,8123,1907,4680,1316,220
2014-04,11.905432850977405,7878,2079,4373,1262,164
2014-05,14.221128690668992,8027,1955,4516,1317,239
2014-06,14.949667858967809,7828,1820,4381,1364,263
2014-07,17.38018018018018,6660,1251,3858,1293,258
2014-08,17.25762813768225,6653,1200,3883,1338,232
2014-09,14.348467520585544,8744,1940,4858,1690,256
2014-10,15.70126614015294,7977,1690,4570,1424,293
2014-11,15.433866562621928,7689,1706,4284,1429,270
2014-12,15.0849183765164,6677,1500,3659,1264,254
2015-01,12.62484993997599,6664,1738,3635,1141,150
2015-02,14.215869886643667,8116,1972,4445,1479,220
2015-03,19.009096612296112,6376,1515,3612,1030,219
2015-04,20.140227309108372,6247,1378,3536,1066,267
2015-05,19.646390078251883,6773,1370,3819,1295,289
2015-06,17.454057279236277,6704,1356,3904,1167,277
2015-07,14.923051735428945,6108,1145,3518,1206,239
2015-08,18.553354890864995,4948,1017,2764,987,180
2015-09,18.3994994525262,6393,1439,3580,1130,244
2015-10,18.72530084682811,6731,1539,3656,1234,302
2015-11,17.435333896872358,5915,1352,3204,1103,256
2015-12,14.890718292020988,5527,1281,3027,999,220
2016-01,13.915305164319248,5325,1221,3001,911,192
2016-02,21.13682092555332,5467,1226,3039,980,222
2016-03,17.423253603674958,6313,1390,3573,1110,240
2016-04,17.381541066892463,5905,1170,3381,1114,240
2016-05,17.971500949968334,6316,1186,3616,1227,287
2016-06,18.652448657187993,6330,1187,3600,1285,258
2016-07,21.437580253959194,7009,1253,3947,1455,354
2016-08,20.61002701891324,6662,1198,3858,1303,303
2016-09,16.703894195444526,6805,1341,3855,1309,300
2016-10,17.184897279289284,7204,1450,4130,1358,266
2016-11,16.636244731870367,6881,1478,3882,1249,272
2016-12,16.001603264830198,6861,1240,3904,1442,275
2017-01,14.532465081162703,5298,986,3179,963,170
2017-02,14.896189735614309,5144,1041,2926,993,184
2017-03,16.12374042724708,4962,1004,2901,858,199
2017-04,16.899761336515514,5028,926,2863,1012,227
2017-05,17.195077332446367,6013,1172,3325,1248,268
2017-06,22.271255750553756,5869,1098,3264,1187,320
2017-07,23.795418502202644,5675,969,3172,1243,291
2017-08,21.027205276174772,6065,1148,3476,1174,267
2017-09,20.574257425742573,6464,1341,3534,1272,317
2017-10,21.7748180269475,6457,1350,3523,1269,315
2017-11,23.069405971068022,6498,1167,3652,1333,346
2017-12,18.46905250806688,6818,1261,3841,1426,290
2018-01,15.704362801377727,6968,1383,4105,1247,233
2018-02,16.33264069264069,5775,1127,3326,1113,209
2018-03,,0,0,0,0,0
2018-04,22.708674042007374,6237,1254,3367,1273,343
2018-05,35.042821528083294,6819,1113,3754,1453,499
2018-06,45.276416166206786,6161,908,3395,1373,485
2018-07,53.57692307692308,6422,804,3674,1424,520
2018-08,39.15198204936425,6685,907,3808,1539,431
2018-09,22.624852270808713,5923,950,3227,1395,351
2018-10,18.627914723517655,6004,1052,3383,1287,282
2018-11,19.127092967628766,6271,1084,3600,1285,302
2018-12,19.55791774289688,5033,815,2866,1106,246
2019-01,18.11289842120941,6714,1124,3787,1485,318
2019-02,16.617524138924917,6939,1215,3920,1519,285
2019-03,16.384979821021233,5699,1118,3171,1158,252
2019-04,,0,0,0,0,0
2019-05,26.133226645329067,4999,758,2750,1194,297
2019-06,,0,0,0,0,0
2019-07,29.232156862745097,5100,977,2685,1113,325
2019-08,29.62410858063032,4347,694,2305,1052,296
2019-09,21.932046332046333,3885,515,2140,935,295
2019-10,22.433931099575272,4238,750,2229,933,326
2019-11,,0,0,0,0,0
2019-12,,0,0,0,0,0
2020-01,18.80800749239054,4271,777,2367,939,188
2020-02,19.79566715903496,4062,757,2289,822,194
2020-03,16.95874967973354,3903,886,2109,774,134
2020-04,16.275317275317274,3861,750,2187,801,123
2020-05,21.958892377961746,3503,641,1947,748,167
2020-06,24.493493493493492,2997,434,1744,625,194
2020-07,23.34424738517508,2199,426,1171,488,114
2020-08,18.285714285714285,7,0,3,3,1
